"location_name","Female","Male"
"United Arab Emirates",4.99712375890252,3.9754430647319
"United Kingdom",-0.33396335027022,-0.255762048941403
"United Republic of Tanzania",0.751819080424523,0.433754823732927
"United States of America",-0.188672271437797,-0.0785302162114198
"United States Virgin Islands",-0.156261049197005,-0.168138804097555
"Uruguay",-0.0532954864929845,-0.121965151289311
"Uzbekistan",1.99915993860496,1.88924216642959
"Vanuatu",0.725704682579758,0.855656435316569
"Venezuela (Bolivarian Republic of)",0.241850685068634,0.144617468469013
"Viet Nam",0.446118127182836,0.631056200708836
"Western Europe",-0.153487006301671,-0.205122326051249
"Western Sub-Saharan Africa",0.776276677952674,0.779684560221777
"Yemen",1.98886407181474,1.78150102382083
"Zambia",1.7735213519007,1.78060568257444
"Zimbabwe",0.895671522040349,0.706602646005855
